Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"A Srivastava, C Chelmis…","Influence in social networks: A unified model?",2014,"2014 IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6921624/","https://scholar.google.com/scholar?cites=15682498346830358263&as_sdt=2005&sciodt=2007&hl=en",11,"2022-06-21 19:36:36","","","","",,,,,18,2.25,6,3,8,"… infections by the time t - 1 is calculated similarly to the Complex Contagion Model [7] using Equation 10, with the difference that the population is restricted to the local neigh borhood of …","","https://scholar.google.com/scholar?q=related:92Z5MShto9kJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
31,"M Lhommet, D Lourdeaux…","Never alone in the crowd: A microscopic crowd model based on emotional contagion",2011,"2011 IEEE/WIC/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6040759/","https://scholar.google.com/scholar?cites=15412862260499846057&as_sdt=2005&sciodt=2007&hl=en",12,"2022-06-21 19:36:36","","","","",,,,,31,2.82,10,3,11,"… We could say that emotional contagion is the first step of empathy, this complex cognitive … relationships and inter-agents influence require complex highlevel cognitive processes. This …","https://www.researchgate.net/profile/Margot-Lhommet/publication/221155882_Never_Alone_in_the_Crowd_A_Microscopic_Crowd_Model_Based_on_Emotional_Contagion/links/5579a86b08aeacff2003c81e/Never-Alone-in-the-Crowd-A-Microscopic-Crowd-Model-Based-on-Emotional-Contagion.pdf","https://scholar.google.com/scholar?q=related:qRMeqZB85dUJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
13,"J Gao, G Ghasemiesfeh, G Schoenebeck…","General threshold model for social cascades: Analysis and simulations",2016,"… of the 2016 ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2940716.2940778","https://scholar.google.com/scholar?cites=7158096489372531308&as_sdt=2005&sciodt=2007&hl=en",13,"2022-06-21 19:36:36","","10.1145/2940716.2940778","","",,,,,13,2.17,3,4,6,"… contagion k = 1 [Ebrahimi et al. 2014, 2015; Ghasemiesfeh et al. 2013]. One of the limitations of this k-complex … step of generalizing the k-complex contagion model by considering the …","https://dl.acm.org/doi/pdf/10.1145/2940716.2940778","https://scholar.google.com/scholar?q=related:bDoF9dSqVmMJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
1011,"A Guille, H Hacid, C Favre, DA Zighed","Information diffusion in online social networks: A survey",2013,"ACM Sigmod Record","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2503792.2503797","https://scholar.google.com/scholar?cites=590732553931962045&as_sdt=2005&sciodt=2007&hl=en",14,"2022-06-21 19:36:36","","10.1145/2503792.2503797","","",,,,,1011,112.33,253,4,9,"… on adoption, which validates the complex contagion principle that stipulates that repeated exposures to an idea are particularly crucial when the idea is controversial or contentious. …","https://hal.archives-ouvertes.fr/hal-00848050/document","https://scholar.google.com/scholar?q=related:vbZfwiC0MggJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
2,"M Waniek, TP Michalak, A Alshamsi","Strategic attack & defense in security diffusion games",2019,"ACM Transactions on Intelligent …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3357605","https://scholar.google.com/scholar?cites=9737787133858307525&as_sdt=2005&sciodt=2007&hl=en",15,"2022-06-21 19:36:36","","10.1145/3357605","","",,,,,2,0.67,1,3,3,"… We use complex contagion to model the susceptibility level of each member of the network, as it has been shown to better describe diffusion processes in social networks [11–13]. …","https://arxiv.org/pdf/1809.08538","https://scholar.google.com/scholar?q=related:xV3-I86RI4cJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
4,"C Zang, P Cui, C Song, W Zhu, F Wang","Uncovering pattern formation of information flow",2019,"Proceedings of the 25th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3292500.3330971","https://scholar.google.com/scholar?cites=10548827361737164987&as_sdt=2005&sciodt=2007&hl=en",16,"2022-06-21 19:36:36","","10.1145/3292500.3330971","","",,,,,4,1.33,1,5,3,"… as a contagion process between individual agents. Simple-contagion models [8, 29, 48] often assume independent pair-wise social interactions whereas complex contagion models [13, …","https://par.nsf.gov/servlets/purl/10157512","https://scholar.google.com/scholar?q=related:u8hDbZj2ZJIJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"E Loria, LE Nacke, A Marconi","On Social Contagion in Gamification: The Power of Influencers in a Location-Based Gameful System",2021,"Proceedings of the ACM on Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3474670","",17,"2022-06-21 19:36:36","","10.1145/3474670","","",,,,,0,0.00,0,3,1,"Social connections shape our behaviour because of peer pressure and social contagion. This phenomenon is amplified in online networks by particularly influential individuals: …","","https://scholar.google.com/scholar?q=related:k5k8VDNiTlwJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
338,"E Bakshy, D Eckles, R Yan, I Rosenn","Social influence in social advertising: evidence from field experiments",2012,"Proceedings of the 13th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2229012.2229027","https://scholar.google.com/scholar?cites=13637789427698714276&as_sdt=2005&sciodt=2007&hl=en",18,"2022-06-21 19:36:36","","10.1145/2229012.2229027","","",,,,,338,33.80,85,4,10,"… This is consistent with simple contagion, although since we only measure average effects, it is difficult to entirely rule out complex contagion. It is also apparent from Figure 3 that …","https://arxiv.org/pdf/1206.4327","https://scholar.google.com/scholar?q=related:pEaPdzopQ70J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
21,"C Chelmis, VK Prasanna","The role of organization hierarchy in technology adoption at the workplace",2013,"… /ACM International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6785680/","https://scholar.google.com/scholar?cites=18256748828561998714&as_sdt=2005&sciodt=2007&hl=en",19,"2022-06-21 19:36:36","","","","",,,,,21,2.33,11,2,9,"… Next, we show the outcome of ten runs of our complex contagion … Unlike the baselines, our complex contagion model fits more … result of the asymmetric contagion due to the hierarchical …","http://www.cs.albany.edu/~cchelmis/pubs/asonam13.pdf","https://scholar.google.com/scholar?q=related:eoP3x1QAXf0J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
22,"J Woo, AR Kang, HK Kim","The contagion of malicious behaviors in online games",2013,"ACM SIGCOMM Computer Communication …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2534169.2491712","https://scholar.google.com/scholar?cites=1781728081972020355&as_sdt=2005&sciodt=2007&hl=en",20,"2022-06-21 19:36:36","","10.1145/2534169.2491712","","",,,,,22,2.44,7,3,9,"… This implies that the game company needs to restrain users from using bots from the beginning stage of the game to prevent contagion of friends. For the initial test of contagion, we …","https://dl.acm.org/doi/pdf/10.1145/2486001.2491712","https://scholar.google.com/scholar?q=related:g8RHJED4uRgJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"KK Amos, CJ Kuhlman, SS Ravi","Despotic regimes instilling fear in citizens to suppress protests",2020,"2020 IEEE/ACM International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9381455/","",21,"2022-06-21 19:36:36","","","","",,,,,0,0.00,0,3,2,"… We quantify the effects of these input variables on the contagion process of protest participation… contagion. If at least one node vi has θi > 1, then the model is a complex contagion. Thus, …","https://par.nsf.gov/servlets/purl/10310249","https://scholar.google.com/scholar?q=related:T_Z5tSXUrnoJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
14,"M Coscia","Popularity spikes hurt future chances for viral propagation of protomemes",2017,"Communications of the ACM","dl.acm.org","https://dl.acm.org/doi/fullHtml/10.1145/3158227","https://scholar.google.com/scholar?cites=13972472936614684128&as_sdt=2005&sciodt=2007&hl=en",22,"2022-06-21 19:36:36","","10.1145/3158227","","",,,,,14,2.80,14,1,5,"… complex form of contagion, rather than a simple epidemic.Beyond computer science, social … All such studies inevitably face the challenges of complex spread dynamics, as content that …","","https://scholar.google.com/scholar?q=related:4GWtRBsy6MEJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
17,"F Xu, Z Han, J Piao, Y Li",""" I Think You'll Like It"" Modelling the Online Purchase Behavior in Social E-commerce",2019,"Proceedings of the ACM on Human-Computer …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3359167","https://scholar.google.com/scholar?cites=7137901852266878242&as_sdt=2005&sciodt=2007&hl=en",23,"2022-06-21 19:36:36","","10.1145/3359167","","",,,,,17,5.67,4,4,3,"… items, which offers a peek into the complex interplay between the social influence and online … Evidence of complex contagion of information in social media: An experiment using Twitter …","https://fi.ee.tsinghua.edu.cn/public/publications/cc480e82-92c1-11eb-96bc-0242ac120003.pdf","https://scholar.google.com/scholar?q=related:IlX4merrDmMJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"JY Cho, Y Li, AK Armstrong, A Russ…","Using Social Norms to Promote Actions Beyond the Course",2021,"… of the Eighth ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3430895.3460144","",24,"2022-06-21 19:36:36","","10.1145/3430895.3460144","","",,,,,0,0.00,0,5,1,"… for behavior change depending on how complex the target behavior is. Psychologists found … as a contagion process, distinguish between simple and complex contagion. While simple …","https://rene.kizilcec.com/wp-content/uploads/2021/05/cho2021using.pdf","https://scholar.google.com/scholar?q=related:FSrr-FIK7koJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
17,"M Kim, J Kang, D Kim, H Song, H Min, Y Nam…","Hi-COVIDNet: Deep learning approach to predict inbound COVID-19 patients and case study in South Korea",2020,"… of the 26th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3394486.3412864","https://scholar.google.com/scholar?cites=15677242558661709875&as_sdt=2005&sciodt=2007&hl=en",25,"2022-06-21 19:36:36","","10.1145/3394486.3412864","","",,,,,17,8.50,2,7,2,"… Owing to the high contagion rate of the virus, COVID-19 cases continue to increase globally. … the complex relationships among foreign countries and derive their respective contagion …","http://143.248.91.144/lab/papers/kdd20_covid.pdf","https://scholar.google.com/scholar?q=related:M9CqpgvBkNkJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
69,"H Webb, P Burnap, R Procter, O Rana…","Digital wildfires: Propagation, verification, regulation, and responsible innovation",2016,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2893478","https://scholar.google.com/scholar?cites=3044816706817762138&as_sdt=2005&sciodt=2007&hl=en",26,"2022-06-21 19:36:36","","10.1145/2893478","","",,,,,69,11.50,14,5,6,"… This is a highly complex issue that arouses considerable debate centred on several key … to others, possibly generating a full-scale contagion. Early diffusion models used in social …","https://ora.ox.ac.uk/objects/uuid:c03eeeea-d6e7-4318-bff9-29ee3cf48bf0/download_file?safe_filename=Digital%2Bwildfires%253B%2Bpropagation%252C%2Bverification%252C%2Bregulation%2Band%2Bresponsible%2Binnovation.pdf&file_format=application%2Fpdf&type_of_work=Journal+article","https://scholar.google.com/scholar?q=related:WiMMqKlcQSoJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
4,"E Marin, R Guo, P Shakarian","Measuring time-constrained influence to predict adoption in online social networks",2020,"ACM Transactions on Social Computing","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3372785","https://scholar.google.com/scholar?cites=9358335355536920950&as_sdt=2005&sciodt=2007&hl=en",27,"2022-06-21 19:36:36","","10.1145/3372785","","",,,,,4,2.00,1,3,2,"… contagion models for simple and complex contagion phenomena, testing their models on 20 Nigerian events in Twitter. By optimizing the threshold for the complex … complex contagion …","https://dl.acm.org/doi/pdf/10.1145/3372785","https://scholar.google.com/scholar?q=related:dtHBW2x834EJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
5,"G Schoenebeck, A Snook, FY Yu","Sybil detection using latent network structure",2016,"Proceedings of the 2016 ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2940716.2940747","https://scholar.google.com/scholar?cites=10448231015128696208&as_sdt=2005&sciodt=2007&hl=en",28,"2022-06-21 19:36:36","","10.1145/2940716.2940747","","",,,,,5,0.83,2,3,6,"Sybil attacks, in which an adversary creates a large number of identities, present a formidable problem for the robustness of recommendation systems. One promising method of sybil …","https://dl.acm.org/doi/pdf/10.1145/2940716.2940747","https://scholar.google.com/scholar?q=related:kAX3S8CS_5AJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
0,"S Raponi, Z Khalifa, G Oligeri, RD Pietro","Fake News Propagation: A Review of Epidemic Models, Datasets, and Insights",2022,"ACM Transactions on the Web …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3522756","",29,"2022-06-21 19:36:36","","10.1145/3522756","","",,,,,0,0.00,0,4,1,"… Some studies suggest that the answer is strongly correlated to the type of contagion. For example, a complex contagion, ie, the phenomenon in social networks in which multiple …","","https://scholar.google.com/scholar?q=related:stimf_CNFYcJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
94,"AE Bell","Death by UML Fever: Self-diagnosis and early treatment are crucial in the fight against UML Fever.",2004,"Queue","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/984458.984495","https://scholar.google.com/scholar?cites=14552510621918942868&as_sdt=2005&sciodt=2007&hl=en",30,"2022-06-21 19:36:36","","10.1145/984458.984495","","",,,,,94,5.22,94,1,18,"… This fever has many different strains that vary in levels of lethality and contagion. A number … many cases of the fever go untreated and often evolve into more complex and lethal strains. …","https://dl.acm.org/doi/pdf/10.1145/984458.984495","https://scholar.google.com/scholar?q=related:lNaT4U7n9MkJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
1437,"M Gomez-Rodriguez, J Leskovec…","Inferring networks of diffusion and influence",2012,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2086737.2086741","https://scholar.google.com/scholar?cites=17132030181028083873&as_sdt=2005&sciodt=2007&hl=en",31,"2022-06-21 19:36:36","","10.1145/2086737.2086741","","",,,,,1437,143.70,479,3,10,"… that fully specify the trace of the contagion c through the network, we only get to observe pairs (v, tv)c, which describe the time tv when node v got infected by the contagion c. Now, given …","https://arxiv.org/pdf/1006.0234","https://scholar.google.com/scholar?q=related:oThzJa4ywe0J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
16,"N Barbieri, F Bonchi, G Manco","Efficient methods for influence-based network-oblivious community detection",2016,"ACM Transactions on Intelligent …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2979682","https://scholar.google.com/scholar?cites=10992776260911326228&as_sdt=2005&sciodt=2007&hl=en",32,"2022-06-21 19:36:36","","10.1145/2979682","","",,,,,16,2.67,5,3,6,"… That is, we aim at modeling communities through the lenses of social contagion. By fitting the model parameters to the user activity log, we learn the community membership and the …","","https://scholar.google.com/scholar?q=related:FGT3XsQvjpgJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
705,"I Lee, F Martin, J Denner, B Coulter, W Allan, J Erickson…","Computational thinking for youth in practice",2011,"Acm Inroads","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1929887.1929902","https://scholar.google.com/scholar?cites=4313637497522512555&as_sdt=2005&sciodt=2007&hl=en",33,"2022-06-21 19:36:36","","10.1145/1929887.1929902","","",,,,,705,64.09,101,7,11,"… and approaches that are integral to solving complex problems using a computer and widely … Additionally students modeled the characteristics of the contagion being spread: how often …","https://www.academia.edu/download/49226520/Computational_thinking_for_youth_in_prac20160929-9740-1f0nmqf.pdf","https://scholar.google.com/scholar?q=related:q2KiCXMe3TsJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
19,"D Cheng, Z Niu, Y Zhang","Contagious chain risk rating for networked-guarantee loans",2020,"Proceedings of the 26th ACM SIGKDD …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3394486.3403322","https://scholar.google.com/scholar?cites=16641390682937799576&as_sdt=2005&sciodt=2007&hl=en",34,"2022-06-21 19:36:36","","10.1145/3394486.3403322","","",,,,,19,9.50,6,3,2,"… Such approaches dismiss the contagion risk from guarantee … to rate the risk of contagion chains in the bank industry with … method are: 1) even complex networked loan behaviors can be …","","https://scholar.google.com/scholar?q=related:mLMAAagY8uYJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
177,"L Blume, D Easley, J Kleinberg, R Kleinberg…","Network formation in the presence of contagious risk",2013,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2465769.2465771","https://scholar.google.com/scholar?cites=1582259948617361667&as_sdt=2005&sciodt=2007&hl=en",35,"2022-06-21 19:36:36","","10.1145/2465769.2465771","","",,,,,177,19.67,35,5,9,"… through direct probabilistic contagion across edges. One can imagine more complex models for … ’s links increase its payoff, and more complex mechanisms for the spread of failures. For …","https://www.researchgate.net/profile/Lawrence-Blume/publication/221444987_Network_Formation_in_the_Presence_of_Contagious_Risk/links/00b49516c96deb8ae1000000/Network-Formation-in-the-Presence-of-Contagious-Risk.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:A2mqQwpR9RUJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
5,"CJ Kuhlman, A Kumar, MV Marathe, SS Ravi…","Analysis problems for special classes of bi-threshold dynamical systems",2013,"… ). ACM Sheridan Press, New …","","","https://scholar.google.com/scholar?cites=16231360582991272505&as_sdt=2005&sciodt=2007&hl=en",36,"2022-06-21 19:36:36","CITATION","","","",,,,,5,0.56,1,5,9,"","","https://scholar.google.com/scholar?q=related:Odp46nNgQeEJ:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
12,"Q Bao, WK Cheung, Y Zhang","Incorporating structural diversity of neighbors in a diffusion model for social networks",2013,"2013 IEEE/WIC/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6690047/","https://scholar.google.com/scholar?cites=10319187437314141846&as_sdt=2005&sciodt=2007&hl=en",37,"2022-06-21 19:36:36","","","","",,,,,12,1.33,4,3,9,"… According to [15], contagion can be categorized as simple and complex ones. With simple contagion, only one source is sufficient for diffusion while complex contagion is related to …","","https://scholar.google.com/scholar?q=related:lm7IA00eNY8J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
16,"G Schoenebeck, B Tao","Beyond worst-case (in) approximability of nonsubmodular influence maximization",2019,"ACM Transactions on Computation Theory …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3313904","https://scholar.google.com/scholar?cites=14817503133196028607&as_sdt=2005&sciodt=2007&hl=en",38,"2022-06-21 19:36:36","","10.1145/3313904","","",,,,,16,5.33,8,2,3,"… Cascade models that violate the submodularity property are called nonsubmodular cascades (or sometimes complex cascades). In nonsubmodular contagion models, like the …","https://dl.acm.org/doi/pdf/10.1145/3313904","https://scholar.google.com/scholar?q=related:vwpj2JdYos0J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
12,"J Kleinberg","Cascading behavior in social and economic networks",2013,"… of the fourteenth ACM conference on Electronic …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2492002.2483189","https://scholar.google.com/scholar?cites=4564596508008053175&as_sdt=2005&sciodt=2007&hl=en",39,"2022-06-21 19:36:36","","10.1145/2492002.2483189","","",,,,,12,1.33,12,1,9,"… Threshold contagion models are striking in their diversity of possible behaviors: depending on how thresholds are distributed among the nodes, the probability of being involved in a …","","https://scholar.google.com/scholar?q=related:t_nO-la0WD8J:scholar.google.com/&scioq=source:acm+complex+contagion&hl=en&as_sdt=2007"
