"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Mathematical modeling of ventilation in classrooms as decrease in the risk of contagion by COVID-19","J. E. Pach&#x00F3;n; N. Y. Rojas; D. A. Casta&#x00F1;eda; L. R. Villamizar; O. Ram&#x00ED;rez; L. V. Dimas","Universidad de la Salle,Programa de Ingenier&#x00ED;a Ambiental y Sanitaria,Bogot&#x00E1;,D.C,Colombia; Universidad Nacional de Colombia,Programa de Ingenier&#x00ED;a Qu&#x00ED;mica,Bogot&#x00E1;,D.C,Colombia; Universidad del Norte,Programa de Ingenier&#x00ED;a Civil y Ambienta,Barranquilla,Colombia; Universidad Industrial de Santander,Facultad de Medicina,Santander,Colombia; Universidad Militar de Nueva Granada,Programa de ingenier&#x00ED;a Ambiental,Bogot&#x00E1;,D.C,Colombia; Universidad de la Salle,Programa de Ingenier&#x00ED;a Ambiental y Sanitaria,Bogot&#x00E1;,D.C,Colombia","2021 Congreso Colombiano y Conferencia Internacional de Calidad de Aire y Salud Pública (CASAP)","10 Feb 2022","2021","","","1","4","In indoor spaces, there is evidence of the importance of transmission of the SARS-CoV-2 virus by air through aerosols, especially in poorly ventilated conditions. Viruses are exhaled by infected people into respiratory particles with sizes less than 50 microns (microdroplets) that are suspended in the air (aerosols) and can be transported to distances greater than 2 meters within a closed room, such as classrooms. Therefore, in closed school environments, the conditions of occupation and ventilation are essential to determine and minimize the risk of transmission of the virus. There are various techniques to physically assess the air change rate (ACH) in an indoor space or to estimate it indirectly by measuring carbon dioxide (CO<inf>2</inf>). However, these procedures could be complex for an untrained community or in the absence of a CO<inf>2</inf> monitor. The application of mathematical models allows alternatively to evaluate the ventilation conditions from the estimation of ACH or the concentration of CO<inf>2</inf> in an intramural space. Some mathematical models were included as part of a guide developed for the evaluation and monitoring of ventilation in school settings. In this work, the application of mass balance models is presented, under conditions of complete mixing, in a classroom in order to estimate ACH from the volume and occupation of the room. Likewise, mathematical expressions are developed to estimate the concentration of CO<inf>2</inf> and evaluate the risk of contagion to COVID-19 in situations with and without ventilation. From simple mathematical expressions, it is contributed to the evaluation of the ventilation conditions of classrooms to avoid possible outbreaks of contagion in face-to-face education.","","978-1-6654-7959-2","10.1109/CASAP54985.2021.9703383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9703383","Ventilation. CO2;Covid-19;ACH;Aerosols","COVID-19;Meters;Solid modeling;Micrometers;Aerosols;Ventilation;Extraterrestrial measurements","aerosols;air quality;carbon compounds;diseases;microorganisms;ventilation","school settings;mass balance models;classroom;ACH;COVID-19;mathematical expressions;ventilation conditions;mathematical modeling;indoor space;SARS-CoV-2 virus;aerosols;poorly ventilated conditions;infected people;respiratory particles;closed room;closed school environments;air change rate;mathematical models;intramural space;CO<sub>2</sub>","","","","0","IEEE","10 Feb 2022","","","IEEE","IEEE Conferences"
"The Development of an Industry Environment for the Internet of Things: Evidence From China","T. Li; L. Chen; F. Jia; O. Tang","International Business School Suzhou, Xi&#x0027;an Jiaotong Liverpool University, Suzhou 215123 China.; International Business School Suzhou, Xi&#x0027;an Jiaotong Liverpool University, Suzhou 215123 China.; York Management School, University of York YO10 5DD, York U.K.; Department of Management and Engineering, Link&#x00F6;ping University SE-581 83, Link&#x00F6;ping Sweden.","IEEE Transactions on Engineering Management","","2022","PP","99","1","13","The rapid development of the supply chain of the Internet of Things (IoT) industry may trigger financial risk contagion among IoT manufacturers. This article collects data on listed IoT companies in the Chinese market from 2010 to 2019 and explores the development of the environment for the IoT industry. Two dynamic time wrapping (DTW) networks are created to analyze the topological structures of the IoT industry environment. Both the standard DTW and strongly connected DTW networks are revolutionary in terms of their interconnectedness in the IoT industry. We found that the level of clustering and transitivity of the network continued to decline between 2010 and 2019; i.e., the efficiency of financial risk contagion on IoT networks was significantly reduced. This article contributes to the literature in two aspects. First, it reveals that China&#x0027;s IoT industry is increasingly competitive; financial risks have become more difficult to transfer. The IoT industry has become more robust and exhibits a lower likelihood of financial risk contagion. Second, the article provides empirical evidence for the theory of coevolution, showing that risk contagion ability in an industry setting is decreasing with the development of individual firms.","1558-0040","","10.1109/TEM.2022.3163298","National Natural Science Foundation of China(grant numbers:71902159); Key Program Special Fund in XJTLU(grant numbers:KSF-A-06); Key Program Special Fund in XJTLU(grant numbers:KSF-A-13); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765847","Coevolution theory;complex network;Internet-of-things;supply chain management","Internet of Things;Industries;Complex networks;Companies;Supply chains;Sensors;Complex systems","","","","","","","IEEE","2 May 2022","","","IEEE","IEEE Early Access Articles"
"Adaptive Susceptibility and Heterogeneity in Contagion Models on Networks","R. Pagliara; N. E. Leonard","Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, USA; Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, USA","IEEE Transactions on Automatic Control","27 Jan 2021","2021","66","2","581","594","Contagious processes, such as spread of infectious diseases, social behaviors, or computer viruses, affect biological, social, and technological systems. Epidemic models for large populations and finite populations on networks have been used to understand and control both transient and steady-state behaviors. Typically it is assumed that after recovery from an infection, every agent will either return to its original susceptible state or acquire full immunity to reinfection. We study the network SIRI (Susceptible-Infected-Recovered-Infected) model, an epidemic model for the spread of contagious processes on a network of heterogeneous agents that can adapt their susceptibility to reinfection. The model generalizes existing models to accommodate realistic conditions in which agents acquire partial or compromised immunity after first exposure to an infection. We prove necessary and sufficient conditions on model parameters and network structure that distinguish four dynamic regimes: infection-free, epidemic, endemic, and bistable. For the bistable regime, which is not accounted for in traditional models, we show how there can be a rapid resurgent epidemic after what looks like convergence to an infection-free population. We use the model and its predictive capability to show how control strategies can be designed to mitigate problematic contagious behaviors.","1558-2523","","10.1109/TAC.2020.2985300","Army Research Office(grant numbers:W911NF-18-1-0325); Office of Naval Research(grant numbers:N00014-19-1-2556); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057446","Adaptive systems, complex networks;multiagent systems;propagation of infection;spreading dynamics","Adaptation models;Sociology;Statistics;Steady-state;Analytical models;Adaptive systems;Computational modeling","artificial immune systems;convergence;directed graphs;epidemics;multi-agent systems;network theory (graphs);stability","adaptive susceptibility;contagion models;contagious processes;infectious diseases;social behaviors;computer viruses;biological systems;social systems;technological systems;epidemic model;finite populations;steady-state behavior;susceptible state;heterogeneous agents;partial immunity;compromised immunity;network structure;infection-free population;problematic contagious behaviors;stability analysis;strongly connected digraphs;rapid resurgent epidemic;sufficient conditions;necessary conditions;transient behavior;reinfection susceptibility;network SIRI model;susceptible-infected-recovered-infected model","","4","","49","IEEE","6 Apr 2020","","","IEEE","IEEE Journals"
"Diffusion in Networks with Overlapping Community Structure","F. Reid; N. Hurley","Clique Res. Cluster, Univ. Coll. Dublin, Dublin, Ireland; Clique Res. Cluster, Univ. Coll. Dublin, Dublin, Ireland","2011 IEEE 11th International Conference on Data Mining Workshops","23 Jan 2012","2011","","","969","978","In this work we study diffusion in networks with community structure. We first replicate and extend work on networks with non-overlapping community structure. We then study diffusion on network models that have overlapping community structure. We study contagions in the standard SIR model, and complex contagions thought to be better models of some social diffusion processes. Finally, we investigate diffusion on empirical networks with known overlapping community structure, by analysing the structure of such networks, and by simulating contagion on them. We find that simple and complex contagions can spread fast in networks with overlapping community structure. We also find that short paths exist through overlapping community structure on empirical networks.","2375-9259","978-1-4673-0005-6","10.1109/ICDMW.2011.66","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6137486","Networks;Diffusion;Epidemic;Spread;Contagion;Overlapping;Structure;Community","Communities;Social network services;Mathematical model;Lattices;Analytical models;Educational institutions;Diseases","complex networks;network theory (graphs);social networking (online)","nonoverlapping community structure;network models;overlapping community structure;standard SIR model;social diffusion process;empirical network","","4","","33","","23 Jan 2012","","","IEEE","IEEE Conferences"
"Connectivity and Systemic Risk in the Brazilian National Payments System","R. C. d. C. Miranda; S. R. S. d. Souza; B. M. Tabak","NA; NA; Res. Dept., Banco Central do Brasil, Brasilia, Brazil","2013 International Conference on Signal-Image Technology & Internet-Based Systems","30 Jan 2014","2013","","","561","568","We analyze a unique dataset, with funds transfers processed by the Brazilian Payments System, using network theory concepts. The analyses show that there is a subset of financial institutions acting as money centers. The local importance of the financial institutions is moderately concentrated and increased between 2006 and 2011. We also analyze the impact the default of institutions cause on their neighborhood and find the possible contagion paths within the banking system. The contagion paths change over time, but the central institutions remain the same. These locally central institutions, most of times, are also the systemically most central ones, when considered the entire financial system impact their default provoke. The analyses performed and their results summarize information on the network structure and on its central institutions. This information is relevant for monitoring a payments system.","","978-1-4799-3211-5","10.1109/SITIS.2013.93","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6727243","complex networks;systemic risk;contagion path","Banking;Electric shock;Stability analysis;Analytical models;Entropy;Data mining;Time measurement","data analysis;financial data processing;network theory (graphs);risk management","connectivity risk;systemic risk;Brazilian national payments system;funds transfers;network theory concepts;financial institutions;money centers;contagion paths;banking system;network structure;dataset analysis","","1","","28","","30 Jan 2014","","","IEEE","IEEE Conferences"
"Impact of distance-proximity in spreading process in mobile networks","D. Mboup; C. Diallo; M. Lo","Laboratoire Algebre, Cryptographie, Code et Application (ACCA), Département Informatique, Université Gaston Berger, Saint-Louis, Senegal; Laboratoire Algebre, Cryptographie, Code et Application (ACCA), Département Informatique, Université Gaston Berger, Saint-Louis, Senegal; Laboratoire Analyse Numérique et Informatique (LANI), Département Informatique, Université Gaston Berger, Saint-Louis, Senegal","2017 Global Information Infrastructure and Networking Symposium (GIIS)","11 Dec 2017","2017","","","71","74","In the process of epidemic spreading, the most important question is: how a healthy individual does catch a disease? To answer this question, researchers have developed plenty models depending on the assumption that said the contamination factor is a β coefficient, which is defined probabilistically, representing the infection rate. However, in the real life, the contagion process could depend on many factors like direct contact, indirect contact or proximity. In this paper, we use an epidemic model, SIS (Suspected, Infected, Suspected), that simulates in the framework of synthetic mobility models such as Random Waypoint (RWP), Gauss Markov (GM) and Truncated Levy Walk (TLW) and we show the impact of distance-proximity in the process of contamination.","2150-329X","978-1-5090-4934-9","10.1109/GIIS.2017.8169810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169810","","Diseases;Silicon;Mathematical model;Complex networks;Contamination;Atmospheric modeling;Mobile computing","diseases;epidemics;Markov processes;mobile radio;mobility management (mobile radio);probability;random processes","contamination factor;β coefficient;infection rate;contagion process;epidemic model;synthetic mobility models;distance-proximity;mobile networks;epidemic spreading;healthy individual;disease;Gauss Markov;Random Waypoint;Truncated Levy Walk","","","","21","","11 Dec 2017","","","IEEE","IEEE Conferences"
"Model of cognitive agents to simulate complex information systems","A. -. Fougeres","Univ. of Technol. of Belfort-Montbeliard, Belfort, France","IEEE International Conference on Systems, Man and Cybernetics","6 Feb 2003","2002","4","","6 pp. vol.4","","To model, to conceive or to simulate complex systems whose components are in strong interactions, the paradigm of multi-agents seems allowed henceforth. This short article presents a generic approach of the behavior modeling of a system of assistance to the detection of epidemics where the capacity of decision-making of the components (co-operating agents) can be exploited. The epidemiologists have a certain number of indices which enable them to differentiate, on the basis of accumulation of symptoms of people, the cases isolated from a disease or the consequence of a contagion (epidemic). The system conceived on the basis of the French organization of public health, makes it possible to simulate cases of diseases (local or scattered) and to regularly draw up reports of diagnoses of possible epidemics.","1062-922X","0-7803-7437-1","10.1109/ICSMC.2002.1173308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173308","","Information systems;Petri nets;Decision making;Diseases;Multiagent systems;Reflection;Electronic mail;Public healthcare;Scattering;Knowledge engineering","medical diagnostic computing;multi-agent systems;cognitive systems;diseases;decision making;knowledge engineering","cognitive agent model;complex information systems;multi-agent systems;behavior modeling;epidemic detection;decision-making;knowledge engineering;cooperating agents;Petri nets;disease","","4","","22","","6 Feb 2003","","","IEEE","IEEE Conferences"
"Bayesian Inference of Network Structure From Information Cascades","C. Gray; L. Mitchell; M. Roughan","School of Mathematical Sciences, The University of Adelaide, Adelaide, SA, Australia; School of Mathematical Sciences, The University of Adelaide, Adelaide, SA, Australia; School of Mathematical Sciences, The University of Adelaide, Adelaide, SA, Australia","IEEE Transactions on Signal and Information Processing over Networks","22 May 2020","2020","6","","371","381","Contagion processes are strongly linked to the network structures on which they propagate, and learning these structures is essential for understanding and intervention on complex network processes such as epidemics and (mis)information propagation. However, using contagion data to infer network structure is a challenging inverse problem. In particular, it is imperative to have appropriate measures to quantify uncertainty in network structure estimates; however, these are largely ignored in many optimisation based approaches. We present a probabilistic framework using samples from the distribution of networks that are compatible with the dynamics observed to produce network and uncertainty estimates. We demonstrate the method using the well known independent cascade model to sample from the distribution of networks P(G) conditioned on the observation of a set of infections C. We evaluate the accuracy of the method using the marginal probabilities of each edge in the distribution, and show the benefits of quantifying uncertainty to improve estimates and understanding, particularly with small amounts of data.","2373-776X","","10.1109/TSIPN.2020.2990276","Australian Government Research Training Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079168","Bayesian inference;information diffusion;MCMC inference;network inference","Uncertainty;Bayes methods;Integrated circuit modeling;Power system dynamics;Probabilistic logic;Inference algorithms;Heuristic algorithms","Bayes methods;complex networks;inference mechanisms;inverse problems;network theory (graphs);optimisation;probability","probabilistic framework;network structure estimates;complex network processes;contagion processes;information cascades","","2","","51","IEEE","27 Apr 2020","","","IEEE","IEEE Journals"
"An Infection-Based Mechanism for Self-Adaptation in Multi-agent Complex Networks","N. Salazar; J. A. Rodriguez-Aguilar; J. L. Arcos","Artificial Intell. Res. Inst., Spanish Nat. Res. Council, Bellaterra; Artificial Intell. Res. Inst., Spanish Nat. Res. Council, Bellaterra; Artificial Intell. Res. Inst., Spanish Nat. Res. Council, Bellaterra","2008 Second IEEE International Conference on Self-Adaptive and Self-Organizing Systems","31 Oct 2008","2008","","","161","170","Distributed mechanisms that regulate the behavior of autonomous agents in open multi-agent systems (MAS) are of high interest since we cannot employ centralized approaches relying on global knowledge. In actual-world societies,the balance between personal and social interests is self-regulated through social conventions that emerge in a decentralized manner. As such, a computational mechanism that allows to engineer the emergence of social conventions in MAS can become a highly promising tool to endow open MAS with self-regulating capabilities. To this end we propose a computational self-adapting mechanism that facilitates agents to distributively evolve their social behavior to reach the best social conventions. Our approach borrows from the social contagion phenomenon: social conventions are akin to infectious diseases that spread themselves through members of the society. Furthermore, we experimentally show that our mechanism helps a MAS to regulate itself by searching and establishing (better) social conventions on a wide range of interaction topologies and dynamic environments.","1949-3681","978-0-7695-3404-6","10.1109/SASO.2008.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4663420","emergence;conventions;self-adaptation;MAS;distributed intelligence","Complex networks;Diseases;Technological innovation;Network topology;Autonomous agents;Multiagent systems;Artificial intelligence;Councils;Distributed computing;Computer viruses","distributed processing;multi-agent systems","infection-based mechanism;multiagent complex networks;distributed mechanisms;multiagent systems;social conventions;interaction topologies","","7","","20","","31 Oct 2008","","","IEEE","IEEE Conferences"
"Path-Based Epidemic Spreading in Networks","W. K. Chai; G. Pavlou","Department of Electronic and Electrical Engineering, University College London, London, U.K.; Department of Electronic and Electrical Engineering, University College London, London, U.K.","IEEE/ACM Transactions on Networking","14 Feb 2017","2017","25","1","565","578","Conventional epidemic models assume omni-directional contact-based infection. This strongly associates the epidemic spreading process with node degrees. The role of the infection transmission medium is often neglected. In real-world networks, however, the infectious agent as the physical contagion medium usually flows from one node to another via specific directed routes (path-based infection). Here, we use continuous-time Markov chain analysis to model the influence of the infectious agent and routing paths on the spreading behavior by taking into account the state transitions of each node individually, rather than the mean aggregated behavior of all nodes. By applying a mean field approximation, the analysis complexity of the path-based infection mechanics is reduced from exponential to polynomial. We show that the structure of the topology plays a secondary role in determining the size of the epidemic. Instead, it is the routing algorithm and traffic intensity that determine the survivability and the steady-state of the epidemic. We define an infection characterization matrix that encodes both the routing and the traffic information. Based on this, we derive the critical path-based epidemic threshold below which the epidemic will die off, as well as conditional bounds of this threshold which network operators may use to promote/suppress path-based spreading in their networks. Finally, besides artificially generated random and scale-free graphs, we also use real-world networks and traffic, as case studies, in order to compare the behaviors of contact- and path-based epidemics. Our results further corroborate the recent empirical observations that epidemics in communication networks are highly persistent.","1558-2566","","10.1109/TNET.2016.2594382","Engineering and Physical Sciences Research Council through the Project CHIST-ERA CONCERT entitled A Context-Adaptive Content Ecosystem Under Uncertainty(grant numbers:I1402); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7543480","Epidemic spreading;routing paths;Markov theory;mean field theory;complex networks","Routing protocols;Routing;Biological system modeling;Analytical models;Computational modeling;Network topology;IEEE transactions","complex networks;epidemics;graph theory;Markov processes;matrix algebra;network theory (graphs);polynomial approximation","path-based epidemic spreading;omnidirectional contact-based infection;infection transmission medium;infectious agent;physical contagion medium;directed routes;continuous-time Markov chain analysis;routing paths;mean field approximation;path-based infection mechanics analysis complexity;topology structure;routing algorithm;traffic intensity;traffic information;artificially generated random graphs;scale-free graphs;communication networks","","12","","54","IEEE","15 Aug 2016","","","IEEE","IEEE Journals"
"Proximal-Gradient Algorithms for Tracking Cascades Over Social Networks","B. Baingana; G. Mateos; G. B. Giannakis","Dept. of Electrical & Computer Engr., University of Minnesota, Minneapolis; Dept. of Electrical & Computer Engr., University of Minnesota, Minneapolis; Dept. of Electrical and Computer Engr., University of Minnesota, Minneapolis","IEEE Journal of Selected Topics in Signal Processing","19 May 2017","2014","8","4","563","575","Many real-world processes evolve in cascades over complex networks, whose topologies are often unobservable and change over time. However, the so-termed adoption times when blogs mention popular news items, individuals in a community catch an infectious disease, or consumers adopt a trendy electronics product are typically known, and are implicitly dependent on the underlying network. To infer the network topology, a dynamic structural equation model is adopted to capture the relationship between observed adoption times and the unknown edge weights. Assuming a slowly time-varying topology and leveraging the sparse connectivity inherent to social networks, edge weights are estimated by minimizing a sparsity-regularized exponentially-weighted least-squares criterion. To this end, solvers with complementary strengths are developed by leveraging (pseudo) real-time sparsity-promoting proximal gradient iterations, the improved convergence rate of accelerated variants, or reduced computational complexity of stochastic gradient descent. Numerical tests with both synthetic and real data demonstrate the effectiveness of the novel algorithms in unveiling sparse dynamically-evolving topologies, while accounting for external influences in the adoption times. Key events in the political leadership in North Korea and the initial public offering of LinkedIn explain connectivity changes observed in the associated networks inferred from global cascades of online media.","1941-0484","","10.1109/JSTSP.2014.2317284","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6797935","Structural equation model;dynamic network;social network;contagion;sparsity","Network topology;Heuristic algorithms;Signal processing algorithms;Topology;Mathematical model;Convergence;Integrated circuits","complex networks;computational complexity;convergence of numerical methods;gradient methods;least mean squares methods;minimisation;network theory (graphs);social networking (online);statistical analysis;stochastic processes;telecommunication network topology;time-varying networks","proximal gradient algorithm;cascade tracking;social networks;complex network;blogs;infectious disease;electronics product;dynamic structural equation model;observed adoption times;edge weight estimation;time-varying network topology;sparse connectivity;regularized exponentially weighted least square criterion;minimization;improved convergence rate;accelerated variants;reduced computational complexity;stochastic gradient descent;sparse dynamically evolving topology;political leadership;LinkedIn;online media;global cascade","","63","","40","IEEE","14 Apr 2014","","","IEEE","IEEE Journals"
"Threshold Conditions for Arbitrary Cascade Models on Arbitrary Networks","B. A. Prakash; D. Chakrabarti; M. Faloutsos; N. Valler; C. Faloutsos","NA; NA; Univ. of California - Riverside, Riverside, CA, USA; Univ. of California - Riverside, Riverside, CA, USA; NA","2011 IEEE 11th International Conference on Data Mining","23 Jan 2012","2011","","","537","546","Given a network of who-contacts-whom or who links-to-whom, will a contagious virus/product/meme spread and 'take-over' (cause an epidemic) or die-out quickly? What will change if nodes have partial, temporary or permanent immunity? The epidemic threshold is the minimum level of virulence to prevent a viral contagion from dying out quickly and determining it is a fundamental question in epidemiology and related areas. Most earlier work focuses either on special types of graphs or on specific epidemiological/cascade models. We are the first to show the G2-threshold (twice generalized) theorem, which nicely de-couples the effect of the topology and the virus model. Our result unifies and includes as special case older results and shows that the threshold depends on the first eigenvalue of the connectivity matrix, (a) for any graph and (b) for all propagation models in standard literature (more than 25, including H.I.V.) [20], [12]. Our discovery has broad implications for the vulnerability of real, complex networks, and numerous applications, including viral marketing, blog dynamics, influence propagation, easy answers to 'what-if' questions, and simplified design and evaluation of immunization policies. We also demonstrate our result using extensive simulations on one of the biggest available social contact graphs containing more than 31 million interactions among more than 1 million people representing the city of Portland, Oregon, USA.","2374-8486","978-1-4577-2075-8","10.1109/ICDM.2011.145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6137258","virus propagation;cascade models;epidemic threshold","Immune system;Computational modeling;Eigenvalues and eigenfunctions;Mathematical model;Vectors;Topology;Terminology","complex networks;computer network security;computer viruses;eigenvalues and eigenfunctions;graph theory;network theory (graphs);social networking (online)","arbitrary cascade model;arbitrary network;G2-threshold theorem;twice generalized theorem;topology;eigenvalue;connectivity matrix;complex network vulnerability;viral marketing;blog dynamics;influence propagation;social contact graph;virus propagation model;epidemic threshold;viral contagion","","58","","40","","23 Jan 2012","","","IEEE","IEEE Conferences"
"Modeling and Evaluating Epidemic Control Strategies With High-Order Temporal Networks","A. Antelmi; G. Cordasco; V. Scarano; C. Spagnuolo","Dipartimento di Informatica, Università degli Studi di Salerno, Fisciano, Italy; Dipartimento di Psicologia, Università degli Studi della Campania Luigi Vanvitelli, Caserta, Italy; Dipartimento di Informatica, Università degli Studi di Salerno, Fisciano, Italy; Dipartimento di Informatica, Università degli Studi di Salerno, Fisciano, Italy","IEEE Access","20 Oct 2021","2021","9","","140938","140964","Non-Pharmaceutical Interventions (NPIs) are essential measures that reduce and control a severe outbreak or a pandemic, especially in the absence of drug treatments. However, estimating and evaluating their impact on society remains challenging, considering the numerous and closely tied aspects to examine. This article proposes a fine-grain modeling methodology for NPIs, based on high-order relationships between people and environments, mimicking direct and indirect contagion pathways over time. After assessing the ability of each intervention in controlling an epidemic propagation, we devise a multi-objective optimization framework, which, based on the epidemiological data, calculates the NPI combination that should be implemented to minimize the spread of an epidemic as well as the damage due to the intervention. Each intervention is thus evaluated through an agent-based simulation, considering not only the reduction in the fraction of infected but also to what extent its application damages the daily life of the population. We run experiments on three data sets, and the results illustrate how the application of NPIs should be tailored to the specific epidemic situation. They further highlight the critical importance of correctly implementing personal protective (e.g., using face masks) and sanitization measures to slow down a pathogen spreading, especially in crowded places.","2169-3536","","10.1109/ACCESS.2021.3119459","European Union Horizon 2020 Research and Innovation Programme(grant numbers:769872 (EMPATHIC),823907 (MENHIR)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9567682","Agent-based modeling;complex networks;epidemic;high-order relationships;hypergraphs;non-pharmaceutical interventions","Mathematical models;Biological system modeling;Statistics;Sociology;Context modeling;Social networking (online);Pandemics","data analysis;drugs;epidemics;graph theory;medical computing;modelling;optimisation","hyper-graphs;pathogen spreading;data sets;epidemic control strategies;agent-based simulation;epidemiological data;multiobjective optimization framework;epidemic propagation;indirect contagion pathways;direct contagion pathways;high-order relationships;fine-grain modeling methodology;closely tied aspects;numerous tied aspects;drug treatments;severe outbreak;NPIs;nonpharmaceutical interventions;high-order temporal networks;sanitization measures;specific epidemic situation","","1","","73","CCBY","11 Oct 2021","","","IEEE","IEEE Journals"
"Improving Confidence in Simulations through the Application of Multiple Updating Strategies","J. Kehoe; M. Crane; H. Ruskin","Institute of Technology Carlow,Computing Department,Carlow,Ireland; Dublin City University,School of Computing,Dublin,Ireland; Dublin City University,School of Computing,Dublin,Ireland","2019 International Conference on High Performance Computing & Simulation (HPCS)","9 Sep 2020","2019","","","1","3","Today Cellular Automata (CA) and Agent Based Model (ABM) based simulations are used to make predictions and discover properties of real world scenarios, e.g. predicting the spread of influenza contagions. In these situations it is important that we have maximum confidence in the simulations we employ. One factor that is known to affect the outcomes of a simulation is the choice of updating strategy used. Specific strategies can cause artifacts - i.e. outcomes of a simulation not due to any intrinsic properties of the model itself but caused directly by the updating strategy. To guard against artifacts multiple strategies should be used on a model and the outcomes compared. Currently, while both Synchronous and asynchronous updating are used in CA based simulations, AU is used almost exclusively in ABM. This is due to: (i) until recently, the lack of any well-known SU algorithm that can handle complex ABM interactions and (ii) belief that AU is a better model of how the real world works.","","978-1-7281-4484-9","10.1109/HPCS48598.2019.9188107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9188107","Cellular Automata;Agent Based Models;Asynchronous Updating;Synchronous Updating","Gold;Biological system modeling;Computational modeling;Predictive models;Automata;Sociology;Statistics","cellular automata;multi-agent systems","maximum confidence;updating strategy;artifacts multiple strategies;CA based simulations;complex ABM interactions;multiple updating strategies;Model based simulations;influenza contagions","","","","11","","9 Sep 2020","","","IEEE","IEEE Conferences"
"On democratic evaluation of nodes representativity","G. R. Cerquinho Pinheiro; B. M. de Araújo","Humanities, Arts and Science Institute, Federal University of Bahia, Salvador, Brazil; Humanities, Arts and Science Institute, Federal University of Southern Bahia, Porto Seguro, Brazil","2018 International Joint Conference on Neural Networks (IJCNN)","14 Oct 2018","2018","","","1","8","The characterization of representative nodes has great relevance in several contexts, such as semi-supervised machine learning, contagion process, rumor spreading, among others. We propose a method to nodes characterization in networks based on a voting process, a method other than the several methods in the literature, which works on the active participation of the network nodes, by considering the point of view of the nodes, in such a democratic evaluation of the network. The proposed method is studied through computational simulations on real-world and synthetic networks. Results are presented by considering the influence of the free parameters, in comparison with results of reference methods, and in relation to ground-truth knowledge about the networks, revealing consistency of the results, practicality, and some advantages. Several insights on opened issues are provided.","2161-4407","978-1-5090-6014-6","10.1109/IJCNN.2018.8489512","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489512","complex networks;data mining;influential spreaders","Computational efficiency;Peer-to-peer computing;Social network services;Computational modeling;Knowledge engineering;Proteins;Art","complex networks;network theory (graphs)","nodes characterization;voting process;active participation;network nodes;democratic evaluation;computational simulations;synthetic networks;nodes representativity;representative nodes;complex networks","","","","37","","14 Oct 2018","","","IEEE","IEEE Conferences"
